# Band structure: file generated from Abinit band.out file. #
# Eigenvalues (eV) for nkpt= 221 k points. #
# Format: total path length, kx, ky, kz, one or more energy eigenvalues. #
15.20806 15.58471 15.77569 16.25496 16.57386 16.68331 17.24792 17.41246
17.98087 18.42303 18.86186 19.16803 19.71248 21.01187 21.60079 21.84390
22.53439 23.91632 24.32662 24.63085 25.91313 32.48151 32.51953 33.47415
37.82419 38.51733 41.27529 43.69638 45.09375 47.02352 48.40759 49.66036
50.97574 51.41518 53.79979 54.24460 56.69238 56.99287
0.325 0.0 0.0 0.325 -60.82077 -60.41335 -27.58470 -27.04470 -25.56650 -25.42765 -24.26083 -23.91955
15.29405 15.55433 15.81110 16.27083 16.69855 16.70155 17.24506 17.47054
18.05081 18.44565 18.89852 19.16741 19.60489 20.91121 21.65540 22.07605
22.60311 23.98462 24.43495 24.63759 25.85808 31.81618 31.81674 33.16729
37.80150 38.00101 41.95061 44.19557 45.04039 46.92822 48.99278 50.17295
50.63303 51.49354 53.64198 54.21298 56.88106 56.92175
0.35 0.0 0.0 0.35 -60.79397 -60.44011 -27.55373 -27.08625 -25.56604 -25.44465 -24.22892 -23.93287
15.34958 15.51286 15.85267 16.28083 16.69979 16.76754 17.26681 17.53900
18.15535 18.40994 18.95359 19.20633 19.49255 20.75808 21.69726 22.30589
22.75699 24.11917 24.57724 24.68899 25.86136 31.11971 31.13648 32.78831
37.57133 37.76719 42.65675 44.64836 44.99215 46.86628 49.48859 50.24808
50.64538 51.54249 53.48988 54.19137 56.76805 57.04539
0.375 0.0 0.0 0.375 -60.76611 -60.46794 -27.52104 -27.12828 -25.56395 -25.46107 -24.19732 -23.94812
15.37114 15.46456 15.90782 16.28554 16.69194 16.77040 17.32604 17.61827
18.28072 18.34174 19.01432 19.25213 19.39011 20.58848 21.73625 22.45519
22.97495 24.34688 24.73735 24.75610 25.97832 30.44308 30.46188 32.30869
37.26536 37.71517 43.36069 44.96104 44.96672 46.95860 49.84817 49.87341
51.08180 51.51455 53.29264 54.18707 56.66226 57.01106
0.4 0.0 0.0 0.4 -60.73736 -60.49666 -27.48674 -27.17048 -25.56019 -25.47675 -24.16630 -23.96531
15.36524 15.41465 15.97435 16.28517 16.67962 16.74140 17.40488 17.70296
18.26534 18.40124 19.05570 19.28231 19.33447 20.41573 21.78580 22.50099
23.22659 24.62222 24.78112 24.97565 26.24718 29.80332 29.80554 31.73130
37.08669 37.64234 44.00932 45.01070 45.06866 47.27955 49.43665 50.14112
51.42509 51.49066 52.99304 54.16134 56.55901 56.76527
0.425 0.0 0.0 0.425 -60.70790 -60.52611 -27.45095 -27.21258 -25.55480 -25.49154 -24.13615 -23.98444
15.34443 15.36867 16.04440 16.27924 16.66642 16.70656 17.48832 17.77915
18.20258 18.48051 19.05712 19.28831 19.37058 20.24517 21.85334 22.46581
23.48500 24.60857 25.11642 25.23684 26.64358 29.17150 29.23973 31.08073
37.01694 37.54893 44.44737 45.02819 45.27487 47.73902 49.04577 50.30620
51.30577 51.82918 52.61647 54.06129 56.49985 56.57676
0.45 0.0 0.0 0.45 -60.67791 -60.55610 -27.41380 -27.25433 -25.54780 -25.50530 -24.10708 -24.00549
15.32084 15.33167 16.11039 16.26645 16.65517 16.67746 17.57169 17.81719
18.18513 18.48453 19.06834 19.26964 19.47422 20.07856 21.94014 22.38203
23.73136 24.48910 25.52144 25.52749 27.08862 28.58277 28.82207 30.39221
37.02937 37.43866 44.60493 44.93124 45.82418 47.97984 48.93115 50.38052
51.18704 51.75340 52.55235 53.85853 56.39739 56.53072
0.475 0.0 0.0 0.475 -60.64755 -60.58646 -27.37541 -27.29551 -25.53926 -25.51791 -24.07932 -24.02838
15.30351 15.30748 16.16718 16.24479 16.64843 16.65799 17.65363 17.79395
18.23485 18.42011 19.11480 19.22981 19.60890 19.91619 22.04334 22.27385
23.95622 24.33555 25.80318 25.84872 27.44289 28.07015 28.73541 29.70885
37.09794 37.31887 44.67508 44.82957 46.45835 47.63499 49.38527 50.31186
51.09912 51.32634 52.86768 53.56847 56.36671 56.52484
0.5 0.0 0.0 0.5 -60.61701 -60.61701 -27.33593 -27.33593 -25.52927 -25.52927 -24.05304 -24.05304
15.29814 15.29814 16.21212 16.21212 16.64868 16.64868 17.73108 17.73108
18.32531 18.32531 19.17488 19.17488 19.75866 19.75866 22.15727 22.15727
24.15743 24.15743 25.95525 25.95525 27.69484 27.69484 29.10074 29.10074
37.20048 37.20048 44.74357 44.74357 47.07893 47.07893 49.95037 49.95037
51.09879 51.09879 53.22712 53.22712 56.41046 56.43352
0.5104651803615609 -0.0074 0.0074 0.5 -60.61701 -60.61701 -27.33589 -27.33589 -25.52922 -25.52922 -24.05309 -24.05309
15.29835 15.29835 16.21249 16.21249 16.64870 16.64870 17.72813 17.72813
18.32533 18.32533 19.16839 19.16839 19.76697 19.76697 22.15844 22.15844
24.15436 24.15436 25.95569 25.95569 27.69510 27.69510 29.10122 29.10122
37.20597 37.20597 44.74243 44.74243 47.07499 47.07499 49.94280 49.94280
51.10732 51.10732 53.23087 53.23087 56.39552 56.46058
0.5210717820793591 -0.0149 0.0149 0.5 -60.61702 -60.61702 -27.33578 -27.33578 -25.52908 -25.52908 -24.05325 -24.05325
15.29896 15.29896 16.21359 16.21359 16.64876 16.64876 17.71932 17.71932
18.32533 18.32533 19.15021 19.15021 19.79064 19.79064 22.16194 22.16194
24.14522 24.14522 25.95701 25.95701 27.69585 27.69585 29.10266 29.10266
37.22240 37.22240 44.73900 44.73900 47.06323 47.06323 49.92071 49.92071
51.13217 51.13217 53.24214 53.24214 56.34867 56.35349
0.53153696244092 -0.0223 0.0223 0.5 -60.61703 -60.61703 -27.33558 -27.33558 -25.52884 -25.52884 -24.05352 -24.05352
15.29995 15.29995 16.21534 16.21534 16.64888 16.64888 17.70476 17.70476
18.32520 18.32520 19.12344 19.12344 19.82661 19.82661 22.16771 22.16771
24.13016 24.13016 25.95921 25.95921 27.69705 27.69705 29.10510 29.10510
