0.0	-1.3732707129405269e-12
0.01	-7.047373919695787
0.02	-14.362230813814643
0.03	-22.23320966443966
0.04	-30.99179878834678
0.05	-41.03335983353953
0.06	-52.83110169368622
0.07	-66.92372955860158
0.08	-83.82906774249744
0.09	-103.78582093547706
0.1	-126.18421388033089
0.11	-148.68712604541628
0.12	-166.7375864256145
0.13	-175.15116506995844
0.14	-172.26143535004985
0.15	-162.55409841023877
0.16	-153.73280199313933
0.17	-151.45668550562027
0.18	-157.33288598188497
0.19	-170.4606661566056
0.2	-189.13351467614203
0.21	-210.79049769987964
0.22	-231.1853373755114
0.23	-244.67704193979446
0.24	-246.1720482315891
0.25	-233.58920098883036
0.26	-209.9729900576201
0.27	-183.5856568165751
0.28	-164.05259894809345
0.29	-157.06219926338406
0.3	-161.93686224563015
0.31	-173.5760111515894
0.32	-186.77820003017987
0.33	-199.0907403028725
0.34	-209.94057365326128
0.35	-218.18460138313242
0.36	-221.6025569636779
0.37	-218.6672007745409
0.38	-210.5885118831917
0.39	-201.40589686319598
0.4	-195.36531407779455
0.41	-193.86174478841758
0.42	-194.95603914953367
0.43	-195.62767244946903
0.44	-194.28944257499475
0.45	-191.30088606241014
0.46	-187.65616117539295
0.47	-183.70739899529292
0.48	-179.27722835768913
0.49	-174.76136546320723
0.5	-171.59524278895503
0.51	-171.33137576076635
0.52	-174.47253475155736
0.53	-180.35121459003037
0.54	-187.56531734289388
0.55	-194.11229756223602
0.56	-197.96996598550808
0.57	-198.46797097606463
0.58	-196.88948397610295
0.59	-195.36517946376426
0.6	-195.31303734532923
0.61	-196.9494263571127
0.62	-199.82119454727484
0.63	-203.425144305814
0.64	-207.2447627295706
0.65	-210.34175454825038
0.66	-211.36352729208244
0.67	-209.44145649681312
0.68	-205.24437144025694
0.69	-200.99329881121005
0.7	-199.2280096323067
0.71	-201.3689094224386
0.72	-207.1572025114363
0.73	-215.113018812516
0.74	-223.37423435293297
0.75	-230.27222541155376
0.76	-234.63860550133703
0.77	-236.12623325224402
0.78	-235.53776763176162
0.79	-234.8417116396369
0.8	-236.50105307244655
0.81	-242.2355035559165
0.82	-252.1019361776663
0.83	-264.67296671106624
0.84	-277.99785271270133
0.85	-290.4638162303363
0.86	-301.1627475270452
0.87	-309.99220406742694
0.88	-317.73386759824234
0.89	-325.9296421804961
0.9	-336.2141327868572
0.91	-349.45166550832323
0.92	-365.4165142547181
0.93	-383.07409946646146
0.94	-401.12212283505767
0.95	-418.48905584873415
0.96	-434.4726174956847
0.97	-448.60496427157966
0.98	-460.54161299777434
0.99	-470.0129157931369
1.0	-476.9112248239645
1.01	-481.41456928481836
1.02	-483.7715660665557
1.03	-483.94997115405744
1.04	-481.8128025721345
1.05	-477.74903773740095
1.06	-472.89051227306885
1.07	-468.5178124379819
1.08	-465.3238118760539
1.09	-463.2627252851787
1.1	-461.8849028300462
1.11	-460.63365472289604
1.12	-458.90033681353333
1.13	-455.9746218262342
1.14	-451.05944024436224
1.15	-443.5762230215649
1.16	-433.6223029557592
1.17	-422.03804800228363
1.18	-410.0207219231924
1.19	-398.6301464901794
1.2	-388.4711200364475
1.21	-379.7143470496374
1.22	-372.31403949895207
1.23	-366.1969727672344
1.24	-361.3191997978439
1.25	-357.4503108052339
1.26	-353.81514115806766
1.27	-349.1258348556833
1.28	-342.21576061772254
1.29	-332.82457075532443
1.3	-321.8904823811032
1.31	-311.0562303040915
1.32	-301.83099215847494
1.33	-295.0715799991658
1.34	-290.7725970819259
1.35	-288.04977671563523
1.36	-285.5659028249325
1.37	-282.2438300215024
1.38	-277.72205567602646
1.39	-272.2695244343354
1.4	-266.3403481504828
1.41	-260.16745084403016
1.42	-253.60854875304702
1.43	-246.32540620297755
1.44	-238.22038399122616
1.45	-229.6323277892272
1.46	-221.04151659733782
1.47	-212.80327705691067
1.48	-205.16941874334174
1.49	-198.16904915346467
1.5	-191.50100908546924
1.51	-184.8638763150008
1.52	-178.34806828508295
1.53	-172.42604739159185
1.54	-167.54101685708767
1.55	-163.6551635873962
1.56	-160.2873298267124
1.57	-156.89781260845817
1.58	-153.0863011888395
1.59	-148.5327657236878
1.6	-142.91003718656432
1.61	-135.96166665482073
1.62	-127.64191551775677
1.63	-118.14044592670068
1.64	-107.93817632597704
1.65	-97.94508163241125
1.66	-89.20248858681302
1.67	-82.09359772207564
1.68	-76.08542829823774
1.69	-70.32351516122041
1.7	-64.1610959493746
1.71	-57.221415328765744
1.72	-49.385497132120626
1.73	-40.867028616769076
1.74	-32.03904164534922
1.75	-23.056831269375262
1.76	-13.704453124110424
1.77	-3.5377330179945643
1.78	7.854664376133091
1.79	20.62237949802176
1.8	34.62960966121649
1.81	49.59524589489356
1.82	65.08277567249907
1.83	80.32648546379976
1.84	94.30020764454984
1.85	106.11950542369898
1.86	115.2518733571817
1.87	121.27625587473987
1.88	123.96555326577909
1.89	124.10661783907582
1.9	123.6633970526492
1.91	124.62118445903421
1.92	128.0767909405503
1.93	134.09492876084045
1.94	141.63714960894535
1.95	148.58236249562276
1.96	152.28621764856194
1.97	150.7762760368795
1.98	143.97038449368708
1.99	134.19112348597193
2.0	125.41624414473239
2.01	121.10598524575967
2.02	122.02388482079589
2.03	125.98152191162393
2.04	129.36249070703312
2.05	128.88296557304358
2.06	122.80158567647563
2.07	111.90957941317377
2.08	99.89866229469781
2.09	91.67307887293042
2.1	90.24869176589573
2.11	95.02707189251784
2.12	102.49172874094948
2.13	108.25674862041153
2.14	109.39573087780796
2.15	106.35631712968892
2.16	103.05609533119973
2.17	103.96748352222714
