#K-Path      Energy-Level
# NKPTS & NBANDS: 160  24
# Band-Index    1
   1.16252    -12.773872
   1.14450    -12.780341
   1.12648    -12.786632
   1.10846    -12.792707
   1.09045    -12.798530
   1.07243    -12.804066
   1.05441    -12.809283
   1.03639    -12.814150
   1.01838    -12.818640
   1.00036    -12.822726
   0.98234    -12.826387
   0.96433    -12.829601
   0.94631    -12.832353
   0.92829    -12.834622
   0.91027    -12.836401
   0.89226    -12.837679
   0.87424    -12.838449
   0.85622    -12.838706
   0.85622    -12.838706
   0.83427    -12.791572
   0.81231    -12.746876
   0.79036    -12.704928
   0.76840    -12.665987
   0.74645    -12.630277
   0.72450    -12.597990
   0.70254    -12.569277
   0.68059    -12.544240
   0.65863    -12.522930
   0.63668    -12.505343
   0.61472    -12.491419
   0.59277    -12.481049
   0.57082    -12.474072
   0.54886    -12.470288
   0.52691    -12.469458
   0.50495    -12.471322
   0.48300    -12.475595
   0.46104    -12.481984
   0.43909    -12.490185
   0.41713    -12.499906
   0.39518    -12.510851
   0.37323    -12.522743
   0.35127    -12.535312
   0.32932    -12.548304
   0.30736    -12.561486
   0.28541    -12.574642
   0.26345    -12.587568
   0.24150    -12.600085
   0.21954    -12.612030
   0.19759    -12.623255
   0.17564    -12.633633
   0.15368    -12.643048
   0.13173    -12.651400
   0.10977    -12.658604
   0.08782    -12.664593
   0.06586    -12.669311
   0.04391    -12.672713
   0.02195    -12.674765
   0.00000    -12.675452
 
 
# Band-Index    3
   0.00000     -7.946757
   0.02195     -7.947828
   0.04391     -7.951044
   0.06586     -7.956413
   0.08782     -7.963945
   0.10977     -7.973656
   0.13173     -7.985554
   0.15368     -7.999641
   0.17564     -8.015913
   0.19759     -8.034342
   0.21954     -8.054889
   0.24150     -8.077478
   0.26345     -8.102001
   0.28541     -8.128311
   0.30736     -8.156219
   0.32932     -8.185489
   0.35127     -8.215836
   0.37323     -8.246919
   0.39518     -8.278356
   0.41713     -8.309714
   0.43909     -8.340522
   0.46104     -8.370271
   0.48300     -8.398426
   0.50495     -8.424448
   0.52691     -8.447778
   0.54886     -8.467873
   0.57082     -8.484201
   0.59277     -8.496269
   0.61472     -8.503620
   0.63668     -8.505851
   0.65863     -8.502620
   0.68059     -8.493651
   0.70254     -8.478739
   0.72450     -8.457749
   0.74645     -8.430615
   0.76840     -8.397344
   0.79036     -8.357992
   0.81231     -8.312684
   0.83427     -8.261576
   0.85622     -8.204888
   0.85622     -8.204888
   0.87424     -8.204529
   0.89226     -8.203450
   0.91027     -8.201661
   0.92829     -8.199170
   0.94631     -8.195997
   0.96433     -8.192156
   0.98234     -8.187677
   1.00036     -8.182586
   1.01838     -8.176918
   1.03639     -8.170707
   1.05441     -8.163995
   1.07243     -8.156826
   1.09045     -8.149249
   1.10846     -8.141315
   1.12648     -8.133078
   1.14450     -8.124597
   1.16252     -8.115928
   1.18053     -8.107133
   1.19855     -8.098272
   1.21657     -8.089409
   1.23458     -8.080606
   1.25260     -8.071920
   1.27062     -8.063417
   1.28864     -8.055155
   1.30665     -8.047185
   1.32467     -8.039561
   1.34269     -8.032329
   1.36071     -8.025534
   1.37872     -8.019216
   1.39674     -8.013410
   1.41476     -8.008146
   1.43277     -8.003450
   1.45079     -7.999339
   1.46881     -7.995835
   1.48683     -7.992954
   1.50484     -7.990703
   1.52286     -7.989090
   1.54088     -7.988120
   1.55889     -7.987796
   1.55889     -7.987796
   1.58085     -7.986310
   1.60280     -7.981901
   1.62476     -7.974719
   1.64671     -7.965000
   1.66867     -7.953072
   1.69062     -7.939335
   1.71258     -7.924253
   1.73453     -7.908331
   1.75648     -7.892107
   1.77844     -7.876115
   1.80039     -7.860874
   1.82235     -7.846867
   1.84430     -7.834508
   1.86626     -7.824133
   1.88821     -7.815991
   1.91017     -7.810228
   1.93212     -7.806898
   1.95407     -7.805962
   1.97603     -7.807303
   1.99798     -7.810741
   2.01994     -7.816049
   2.04189     -7.822965
   2.06385     -7.831211
   2.08580     -7.840499
   2.10776     -7.850546
   2.12971     -7.861075
   2.15166     -7.871829
   2.17362     -7.882569
   2.19557     -7.893074
   2.21753     -7.903146
   2.23948     -7.912610
   2.26144     -7.921310
   2.28339     -7.929112
   2.30535     -7.935900
   2.32730     -7.941581
   2.34925     -7.946077
   2.37121     -7.949328
   2.39316     -7.951296
   2.41512     -7.951955
   2.41512     -7.951955
   2.43313     -7.995110
   2.45115     -8.035366
   2.46917     -8.072641
   2.48719     -8.106884
   2.50520     -8.138046
   2.52322     -8.166090
   2.54124     -8.190989
   2.55926     -8.212722
   2.57727     -8.231282
   2.59529     -8.246673
   2.61331     -8.258916
   2.63132     -8.268041
   2.64934     -8.274099
   2.66736     -8.277158
   2.68538     -8.277300
   2.70339     -8.274631
   2.72141     -8.269274
   2.73943     -8.261372
   2.75744     -8.251087
   2.77546     -8.238609
   2.79348     -8.224142
   2.81150     -8.207914
   2.82951     -8.190171
   2.84753     -8.171178
   2.86555     -8.151223
   2.88357     -8.130608
   2.90158     -8.109646
   2.91960     -8.088664
   2.93762     -8.067994
   2.95563     -8.047976
   2.97365     -8.028944
   2.99167     -8.011226
   3.00969     -7.995135
   3.02770     -7.980962
   3.04572     -7.968975
   3.06374     -7.959399
   3.08176     -7.952422
   3.09977     -7.948179
   3.11779     -7.946757
 
 
# Band-Index    4
   3.11779     -5.334823
   3.09977     -5.342497
   3.08176     -5.364873
   3.06374     -5.400279
   3.04572     -5.446577
   3.02770     -5.501663
   3.00969     -5.563721
   2.99167     -5.631274
   2.97365     -5.703157
   2.95563     -5.778447
   2.93762     -5.856405
   2.91960     -5.936431
   2.90158     -6.018025
   2.88357     -6.100769
   2.86555     -6.184300
   2.84753     -6.268304
   2.82951     -6.352504
   2.81150     -6.436646
   2.79348     -6.520510
   2.77546     -6.603892
   2.75744     -6.686606
   2.73943     -6.768479
   2.72141     -6.849351
   2.70339     -6.929074
   2.68538     -7.007507
   2.66736     -7.084518
   2.64934     -7.159981
   2.63132     -7.233777
   2.61331     -7.305793
   2.59529     -7.375920
   2.57727     -7.444054
   2.55926     -7.510093
   2.54124     -7.573938
   2.52322     -7.635497
   2.50520     -7.694678
   2.48719     -7.751391
   2.46917     -7.805553
   2.45115     -7.857083
   2.43313     -7.905901
   2.41512     -7.951910
   2.41512     -7.951910
   2.39316     -7.951252
   2.37121     -7.949284
   2.34925     -7.946032
   2.32730     -7.941537
   2.30535     -7.935856
   2.28339     -7.929068
   2.26144     -7.921266
   2.23948     -7.912566
   2.21753     -7.903102
   2.19557     -7.893030
   2.17362     -7.882525
   2.15166     -7.871785
   2.12971     -7.861031
   2.10776     -7.850503
   2.08580     -7.840456
   2.06385     -7.831169
   2.04189     -7.822923
   2.01994     -7.816008
   1.99798     -7.810700
   1.97603     -7.807262
   1.95407     -7.805921
   1.93212     -7.806858
   1.91017     -7.810189
   1.88821     -7.815952
   1.86626     -7.824094
   1.84430     -7.834470
   1.82235     -7.846831
   1.80039     -7.860838
   1.77844     -7.876079
   1.75648     -7.892072
   1.73453     -7.908297
   1.71258     -7.924219
   1.69062     -7.939301
   1.66867     -7.953039
   1.64671     -7.964967
   1.62476     -7.974687
   1.60280     -7.981869
   1.58085     -7.986278
   1.55889     -7.987764
   1.55889     -7.987764
   1.54088     -7.988088
   1.52286     -7.989058
   1.50484     -7.990671
   1.48683     -7.992922
   1.46881     -7.995802
   1.45079     -7.999306
   1.43277     -8.003417
   1.41476     -8.008113
   1.39674     -8.013376
   1.37872     -8.019183
   1.36071     -8.025501
   1.34269     -8.032295
   1.32467     -8.039528
   1.30665     -8.047151
   1.28864     -8.055121
   1.27062     -8.063383
   1.25260     -8.071885
   1.23458     -8.080572
   1.21657     -8.089374
   1.19855     -8.098237
   1.18053     -8.107098
   1.16252     -8.115893
   1.14450     -8.124561
   1.12648     -8.133043
   1.10846     -8.141279
   1.09045     -8.149213
   1.07243     -8.156790
   1.05441     -8.163959
   1.03639     -8.170672
   1.01838     -8.176883
   1.00036     -8.182551
   0.98234     -8.187641
   0.96433     -8.192120
   0.94631     -8.195961
   0.92829     -8.199134
   0.91027     -8.201625
   0.89226     -8.203414
   0.87424     -8.204493
   0.85622     -8.204853
   0.85622     -8.204853
   0.83427     -8.142805
   0.81231     -8.075641
   0.79036     -8.003663
   0.76840     -7.927166
   0.74645     -7.846463
   0.72450     -7.761874
   0.70254     -7.673731
   0.68059     -7.582373
   0.65863     -7.488148
   0.63668     -7.391411
   0.61472     -7.292527
   0.59277     -7.191877
   0.57082     -7.089840
   0.54886     -6.986829
   0.52691     -6.883253
   0.50495     -6.779546
   0.48300     -6.676155
   0.46104     -6.573542
   0.43909     -6.472182
   0.41713     -6.372564
   0.39518     -6.275184
   0.37323     -6.180541
   0.35127     -6.089127
   0.32932     -6.001425
   0.30736     -5.917898
   0.28541     -5.838976
   0.26345     -5.765048
   0.24150     -5.696457
   0.21954     -5.633484
   0.19759     -5.576354
   0.17564     -5.525223
   0.15368     -5.480189
   0.13173     -5.441292
   0.10977     -5.408526
   0.08782     -5.381852
   0.06586     -5.361208
   0.04391     -5.346526
   0.02195     -5.337745
   0.00000     -5.334823
 
 
# Band-Index    5
   0.00000     -4.553211
   0.02195     -4.552154
   0.04391     -4.548975
   0.06586     -4.543658
   0.08782     -4.536178
   0.10977     -4.526508
   0.13173     -4.514623
   0.15368     -4.500501
   0.17564     -4.484133
   0.19759     -4.465524
   0.21954     -4.444691
   0.24150     -4.421665
   0.26345     -4.396491
   0.28541     -4.369231
   0.30736     -4.339956
   0.32932     -4.308757
   0.35127     -4.275732
   0.37323     -4.241002
   0.39518     -4.204695
   0.41713     -4.166964
   0.43909     -4.127976
   0.46104     -4.087930
   0.48300     -4.047036
   0.50495     -4.005549
   0.52691     -3.963748
   0.54886     -3.931196
   0.57082     -3.916514
   0.59277     -3.898533
   0.61472     -3.877599
   0.63668     -3.854122
   0.65863     -3.828565
   0.68059     -3.801449
   0.70254     -3.773356
   0.72450     -3.744935
   0.74645     -3.716892
   0.76840     -3.689994
   0.79036     -3.665050
   0.81231     -3.642906
   0.83427     -3.624388
   0.85622     -3.610299
   0.85622     -3.610299
   0.87424     -3.612867
   0.89226     -3.620545
   0.91027     -3.633237
   0.92829     -3.650783
   0.94631     -3.672963
   0.96433     -3.699480
   0.98234     -3.729987
   1.00036     -3.764076
   1.01838     -3.801292
   1.03639     -3.841145
   1.05441     -3.883128
   1.07243     -3.926725
   1.09045     -3.971427
   1.10846     -4.016739
   1.12648     -4.062191
   1.14450     -4.107341
   1.16252     -4.151783
   1.18053     -4.195140
   1.19855     -4.237072
   1.21657     -4.277281
   1.23458     -4.315506
   1.25260     -4.351509
   1.27062     -4.385106
   1.28864     -4.416141
   1.30665     -4.444494
   1.32467     -4.470087
   1.34269     -4.492880
   1.36071     -4.512877
   1.37872     -4.530118
   1.39674     -4.544697
   1.41476     -4.556748
   1.43277     -4.566450
   1.45079     -4.574023
   1.46881     -4.579727
   1.48683     -4.583846
   1.50484     -4.586662
   1.52286     -4.588446
   1.54088     -4.589418
   1.55889     -4.589725
   1.55889     -4.589725
   1.58085     -4.595864
   1.60280     -4.612876
   1.62476     -4.637413
   1.64671     -4.665712
   1.66867     -4.694542
   1.69062     -4.721400
   1.71258     -4.744411
   1.73453     -4.762139
   1.75648     -4.773469
   1.77844     -4.777517
   1.80039     -4.773578
   1.82235     -4.761109
   1.84430     -4.739712
   1.86626     -4.709130
   1.88821     -4.669252
   1.91017     -4.620099
   1.93212     -4.561823
   1.95407     -4.494701
   1.97603     -4.419113
   1.99798     -4.335538
   2.01994     -4.244539
   2.04189     -4.146757
   2.06385     -4.042903
   2.08580     -3.933765
   2.10776     -3.820231
   2.12971     -3.703295
   2.15166     -3.584147
   2.17362     -3.464260
   2.19557     -3.345595
   2.21753     -3.230989
   2.23948     -3.124897
   2.26144     -3.034240
   2.28339     -2.967014
   2.30535     -2.925377
   2.32730     -2.902643
   2.34925     -2.890714
   2.37121     -2.884542
   2.39316     -2.881591
   2.41512     -2.880717
   2.41512     -2.880717
   2.43313     -2.931435
   2.45115     -2.982937
   2.46917     -3.034905
   2.48719     -3.087095
   2.50520     -3.139306
   2.52322     -3.191370
   2.54124     -3.243154
   2.55926     -3.294546
   2.57727     -3.345456
   2.59529     -3.395818
   2.61331     -3.445568
   2.63132     -3.494669
   2.64934     -3.543092
   2.66736     -3.590824
   2.68538     -3.637857
   2.70339     -3.684201
   2.72141     -3.729873
   2.73943     -3.774904
   2.75744     -3.819329
   2.77546     -3.863201
   2.79348     -3.906576
   2.81150     -3.949521
   2.82951     -3.992104
   2.84753     -4.034404
   2.86555     -4.076498
   2.88357     -4.118458
   2.90158     -4.160337
   2.91960     -4.202167
   2.93762     -4.243933
   2.95563     -4.285559
   2.97365     -4.326869
   2.99167     -4.367543
   3.00969     -4.407069
   3.02770     -4.444663
   3.04572     -4.479208
   3.06374     -4.509186
   3.08176     -4.532749
   3.09977     -4.547943
   3.11779     -4.553211
 
 
# Band-Index    6
   3.11779     -3.826839
   3.09977     -3.823827
   3.08176     -3.814826
   3.06374     -3.799923
