11 40 -5.908376E+00
11 50 -7.279378E+00
11 60 -7.558226E+00
11 70 -7.664994E+00
11 80 -8.114494E+00
11 90 -8.502141E+00
14 40 -5.906146E+00
14 50 -7.279508E+00
14 60 -7.557129E+00
14 70 -7.664104E+00
14 80 0
14 90 0
5 40 -5.881817E+00
5 50 -7.230609E+00
5 60 -7.552263E+00
5 70 -7.675540E+00
5 80 -8.113148E+00
5 90 -8.504615E+00
5 100 -8.987350E+00
5 110 -9.272056E+00
5 120 -9.518632E+00
5 130 -9.733588E+00
5 140 -9.921999E+00
5 150 -1.013463E+01
5 160 -1.024705E+01
5 170 -1.033260E+01
5 180 -1.040434E+01
5 190 -1.045790E+01
8 40 -5.903768E+00
8 50 -7.276858E+00
8 60 -7.563776E+00
8 70 -7.675705E+00
8 80 -8.115517E+00
8 90 -8.508628E+00
