11 40 -2.598581E+00
11 50 -3.988507E+00
11 60 -3.700876E+00
11 70 -4.587904E+00
11 80 -5.330219E+00
11 90 -5.443637E+00
14 40 -2.592079E+00
14 50 -3.986151E+00
14 60 -3.694294E+00
14 70 -4.585714E+00
14 80 0
14 90 0
5 40 -2.563077E+00
5 50 -3.950002E+00
5 60 -3.643698E+00
5 70 -4.540991E+00
5 80 -5.273627E+00
5 90 -5.390234E+00
5 100 -5.539171E+00
5 110 -5.414905E+00
5 120 -5.328566E+00
5 130 -5.205631E+00
5 140 -5.103102E+00
5 150 -4.973274E+00
5 160 -4.849063E+00
5 170 -4.756312E+00
5 180 -4.687330E+00
5 190 -4.645810E+00
8 40 -2.586493E+00
8 50 -3.993911E+00
8 60 -3.697387E+00
8 70 -4.587038E+00
8 80 -5.329570E+00
8 90 -5.438941E+00
