11 40 -2.425746E+00
11 50 -3.835122E+00
11 60 -4.263465E+00
11 70 -4.573594E+00
11 80 -5.255932E+00
11 90 -5.607369E+00
14 40 -2.422314E+00
14 50 -3.830962E+00
14 60 -4.262664E+00
14 70 -4.574587E+00
14 80 0
14 90 0
5 40 -2.380401E+00
5 50 -3.795018E+00
5 60 -4.245950E+00
5 70 -4.558739E+00
5 80 -5.230384E+00
5 90 -5.577029E+00
5 100 -5.901203E+00
5 110 -6.068066E+00
5 120 -6.026730E+00
5 130 -5.981153E+00
5 140 -5.973121E+00
5 150 -5.923909E+00
5 150 -5.923909E+00
5 160 -5.876401E+00
5 170 -5.823745E+00
5 180 -5.772825E+00
5 190 -5.752088E+00
8 40 -2.433700E+00
8 50 -3.843113E+00
8 60 -4.276173E+00
8 70 -4.586871E+00
8 80 -5.266411E+00
8 90 -5.617953E+00
